mom,aet,aprpck,cwd,pet,ppt,rch,run,tmn,tmx,trange,elev,AHM,bFFP,CMD,DD_0,DD_18,DD18,DD5,eFFP,EMT,Eref,EXT,FFP,MAP,MAR,MAT,MCMT,MSP,MWMT,NFFD,PAS,PPT_sm,PPT_wt,RH,SHM,Tave_sm,Tave_wt,TD
220,230.960006713867,0,950.780029296875,1243.27331542969,322.606689453125,40.1599998474121,24.1599998474121,5.57670021057129,20.8166999816895,15.2399997711182,972,80.5,82,1001,38,1875,583,3533,326,-14.5,1286,41.5999984741211,244,304,20.7999992370605,14.5,6.80000019073486,24,24.1000003814697,318,3,5,148,58,1015.20001220703,22.5,7.19999980926514,17.2999992370605
221,293.933288574219,0,889.690002441406,1250,322.463287353516,0.246700003743172,0,5.42999982833862,20.8132991790771,15.3832993507385,973,82.6999969482422,78,1006,36,1818,613,3616,329,-14.1000003814697,1291,41.7000007629395,250,299,20,14.6999998092651,7,24,24.2999992370605,321,2,5,144,58,1029.69995117188,22.7999992370605,7.5,17.2999992370605
345,311.313293457031,0,1086.61669921875,1397.93005371094,460.429992675781,3.71000003814697,145.403305053711,10.8900003433228,24.4599990844727,13.5699987411499,154,66.5,1,978,7,867,776,4702,365,-0.300000011920929,1320,44.0999984741211,364,419,16.7000007629395,17.8999996185303,13.1999998092651,21,24.1000003814697,365,0,6,242,62,1128.5,22.3999996185303,13.5,10.8999996185303
346,412.089996337891,0,991.440002441406,1403.52331542969,461.456695556641,1.03999996185303,48.3333015441895,10.9867000579834,24.403299331665,13.4165992736816,165,66.5,1,978,7,867,776,4702,365,-0.300000011920929,1320,44.0999984741211,364,419,16.7000007629395,17.8999996185303,13.1999998092651,21,24.1000003814697,365,0,6,242,62,1128.5,22.3999996185303,13.5,10.8999996185303
347,412.089996337891,0,991.440002441406,1403.52331542969,461.456695556641,1.03999996185303,48.3333015441895,10.9867000579834,24.403299331665,13.4165992736816,167,66.5,1,978,7,867,776,4702,365,-0.300000011920929,1320,44.0999984741211,364,419,16.7000007629395,17.8999996185303,13.1999998092651,21,24.1000003814697,365,0,6,242,62,1128.5,22.3999996185303,13.5,10.8999996185303
349,412.089996337891,0,991.440002441406,1403.52331542969,461.456695556641,1.03999996185303,48.3333015441895,10.9867000579834,24.403299331665,13.4165992736816,164,66.5,1,978,7,867,776,4702,365,-0.300000011920929,1320,44.0999984741211,364,419,16.7000007629395,17.8999996185303,13.1999998092651,21,24.1000003814697,365,0,6,242,62,1128.5,22.3999996185303,13.5,10.8999996185303
350,412.216705322266,0,992.900024414062,1405.11328125,461.88330078125,1.03999996185303,48.6300010681152,10.9666996002197,24.4132995605469,13.4465999603271,160,66.5,1,978,7,867,776,4702,365,-0.300000011920929,1320,44.0999984741211,364,419,16.7000007629395,17.8999996185303,13.1999998092651,21,24.1000003814697,365,0,6,242,62,1128.5,22.3999996185303,13.5,10.8999996185303
351,412.089996337891,0,991.440002441406,1403.52331542969,461.456695556641,1.03999996185303,48.3333015441895,10.9867000579834,24.403299331665,13.4165992736816,157,66.5,1,978,7,867,776,4702,365,-0.300000011920929,1320,44.0999984741211,364,419,16.7000007629395,17.8999996185303,13.1999998092651,21,24.1000003814697,365,0,6,242,62,1128.5,22.3999996185303,13.5,10.8999996185303
508,362.253295898438,0,805.739990234375,1174.6767578125,723.429992675781,319.473297119141,31.4899997711182,9.25669956207275,23.3533000946045,14.0966005325317,220,35.0999984741211,70,897,33,1613,937,4140,330,-13.8000001907349,1282,44.4000015258789,260,746,18.6000003814697,16.2000007629395,6.90000009536743,69,26.7999992370605,328,6,25,362,57,390.600006103516,25.2999992370605,7.69999980926514,19.8999996185303
509,540.963317871094,0,615.86669921875,1163.27331542969,719.446716308594,166.603302001953,1.86670005321503,9.28330039978027,23.36669921875,14.0833988189697,224,35.2000007629395,70,894,34,1626,929,4120,330,-13.6999998092651,1278,44.4000015258789,260,742,18.2999992370605,16.1000003814697,6.80000019073486,68,26.7000007629395,328,6,25,360,57,392.5,25.2000007629395,7.69999980926514,19.8999996185303
510,370.630004882812,0,751.02001953125,1129.98327636719,817.816711425781,381.350006103516,53.3499984741211,8.73330020904541,22.9300003051758,14.1967000961304,278,30.6000003814697,79,837,42,1824,788,3804,327,-14.5,1230,43.7999992370605,248,824,17.8999996185303,15.1999998092651,6.19999980926514,79,25.7000007629395,320,9,28,394,58,324.200012207031,24.2999992370605,6.90000009536743,19.6000003814697
512,312.076690673828,0,821.333312988281,1146.96997070312,788.919982910156,138.936706542969,320.786712646484,7.98000001907349,21.8633003234863,13.8833003044128,459,31.2999992370605,88,840,48,1959,683,3579,323,-15.3000001907349,1218,43.4000015258789,235,783,17.6000003814697,14.5,5.80000019073486,76,25,313,10,26,368,58,329.600006103516,23.5,6.40000009536743,19.2000007629395
513,312.076690673828,0,821.333312988281,1146.96997070312,788.919982910156,138.936706542969,320.786712646484,7.98000001907349,21.8633003234863,13.8833003044128,460,31.2999992370605,88,840,48,1959,683,3579,323,-15.3000001907349,1218,43.4000015258789,235,783,17.6000003814697,14.5,5.80000019073486,76,25,313,10,26,368,58,329.600006103516,23.5,6.40000009536743,19.2000007629395
514,312.076690673828,0,821.333312988281,1146.96997070312,788.919982910156,138.936706542969,320.786712646484,7.98000001907349,21.8633003234863,13.8833003044128,459,31.2999992370605,88,840,48,1959,683,3579,323,-15.3000001907349,1218,43.4000015258789,235,783,17.6000003814697,14.5,5.80000019073486,76,25,313,10,26,368,58,329.600006103516,23.5,6.40000009536743,19.2000007629395
529,435.333312988281,0,737.286682128906,1177.47668457031,955.623291015625,511.173309326172,0,9.72329998016357,24.5167007446289,14.7934007644653,146,28.2999992370605,63,885,29,1499,1030,4337,332,-13,1313,45,269,944,18.7000007629395,16.7999992370605,7.30000019073486,89,27.2000007629395,333,6,31,463,56,304.5,25.8999996185303,8.19999980926514,20
530,435.333312988281,0,737.286682128906,1177.47668457031,955.623291015625,511.173309326172,0,9.72329998016357,24.5167007446289,14.7934007644653,146,28.2999992370605,63,885,29,1499,1030,4337,332,-13,1313,45,269,944,18.7000007629395,16.7999992370605,7.30000019073486,89,27.2000007629395,333,6,31,463,56,304.5,25.8999996185303,8.19999980926514,20
532,594.343322753906,0,581.679992675781,1179.85668945312,1048.31005859375,428.470001220703,17.3166999816895,10.0932998657227,24.2866992950439,14.1933994293213,179,26.1000003814697,62,862,29,1513,1021,4315,333,-12.8000001907349,1300,45.0999984741211,270,1021,18.7000007629395,16.7000007629395,7.30000019073486,95,27.2000007629395,333,7,31,503,57,285.5,25.7999992370605,8.19999980926514,19.8999996185303
533,594.343322753906,0,581.679992675781,1179.85668945312,1048.31005859375,428.470001220703,17.3166999816895,10.0932998657227,24.2866992950439,14.1933994293213,178,26.1000003814697,62,862,29,1513,1021,4315,333,-12.8000001907349,1300,45.0999984741211,270,1021,18.7000007629395,16.7000007629395,7.30000019073486,95,27.2000007629395,333,7,31,503,57,285.5,25.7999992370605,8.19999980926514,19.8999996185303
536,594.343322753906,0,581.679992675781,1179.85668945312,1048.31005859375,428.470001220703,17.3166999816895,10.0932998657227,24.2866992950439,14.1933994293213,175,26.1000003814697,62,862,29,1513,1021,4315,333,-12.8000001907349,1300,45.0999984741211,270,1021,18.7000007629395,16.7000007629395,7.30000019073486,95,27.2000007629395,333,7,31,503,57,285.5,25.7999992370605,8.19999980926514,19.8999996185303
